Processes: 403 total, 2 running, 401 sleeping, 1668 threads 
2020/08/30 12:31:22
Load Avg: 1.51, 1.70, 1.70 
CPU usage: 7.53% user, 10.95% sys, 81.50% idle 
SharedLibs: 391M resident, 53M data, 48M linkedit.
MemRegions: 71844 total, 3169M resident, 139M private, 1212M shared.
PhysMem: 10G used (2497M wired), 5639M unused.
VM: 2216G vsize, 1991M framework vsize, 3152691(0) swapins, 3366775(0) swapouts.
Networks: packets: 9272571/9600M in, 5120610/866M out.
Disks: 3087464/43G read, 4711613/64G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW      MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
5310   periodic-wrapper 0.0  00:00.01 2     1   24     424K  0B    172K  5310  1     sleeping *0[1]       0.00000 0.00000    0   557      83       96        44        315      225       106       3       1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
5251   sysdiagnose      0.0  00:00.08 2     1   29     1504K 0B    556K  5251  1     sleeping *0[1]       0.00000 0.00000    0   2546     174      373       323       2219     728       1736      68      38       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
5250   CategoriesServic 0.0  00:02.04 2     1   50     5580K 0B    3164K 5250  1     sleeping  0[0]       0.00000 0.00000    501 14884    188      1026      12477     71164    25558     67839     15      5880     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5226   cloudphotod      0.0  00:01.82 2     1   76     4344K 384K  1584K 5226  1     sleeping *0[26]      0.00000 0.00000    501 13083    331      2595      1134      29697    10669     21461     1116    4305     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5204   photolibraryd    0.0  00:57.41 2     1   90     24M   11M   6604K 5204  1     sleeping *0[401]     0.00000 0.00000    501 90460    309      26961     3428      379063   628326    132447    3104    603      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5084   screencaptureui  0.0  00:01.07 3     1   193    31M   0B    29M   5084  1     sleeping *0[1238]    0.00000 0.00000    501 22220    372      16710     3684      14783    38390     20192     151     302      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5049   garcon           0.0  00:01.07 3     1   149    18M   0B    15M   5049  1     sleeping *0[1188]    0.00000 0.00000    501 55601    294      13671     3277      17412    33719     18777     3       300      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
4969   MTLCompilerServi 0.0  00:00.06 2     1   24     5852K 0B    5848K 4969  1     sleeping *0[6]       0.00000 0.00000    88  3996     234      163       55        597      347       121       14      0        0.0   0      0      _windowserver      N/A    N/A   N/A   N/A   N/A   N/A  
4968   MTLCompilerServi 0.0  00:00.11 2     1   23     6324K 0B    6320K 4968  1     sleeping *0[11]      0.00000 0.00000    88  3888     168      167       50        891      309       229       2       1        0.0   0      0      _windowserver      N/A    N/A   N/A   N/A   N/A   N/A  
4963   AssetCacheManage 0.0  00:00.03 2     1   23     2560K 0B    2556K 4963  1     sleeping *0[2]       0.00000 0.00000    0   1441     127      89        37        497      192       130       13      4        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
4909   passd            0.0  00:02.90 3     1   153    11M   0B    7488K 4909  1     sleeping *0[537]     0.00000 0.00000    501 21817    465      9662      16549     92910    49737     82275     1049    6267     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
4844   avconferenced    0.0  00:01.43 4     1   148    5692K 0B    3884K 4844  1     sleeping *0[1]       0.00000 0.00000    501 19991    299      31157     13153     38738    60340     44391     436     384      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
4840   Lungo            0.0  00:01.60 3     1   183    10M   0B    6624K 4840  1     sleeping *0[1639]    0.00000 0.00000    501 18697    380      22160     4908      26960    52910     27701     346     717      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
4705   com.apple.audio. 0.0  00:00.01 2     1   21     840K  0B    832K  4705  1     sleeping *0[2]       0.00000 0.00000    501 1130     146      113       39        546      238       54        0       1        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
2398   UsageTrackingAge 0.0  00:01.30 2     1   59     6676K 64K   3604K 2398  1     sleeping  0[0]       0.00000 0.00000    501 16130    196      3060      690       5647     6839      7782      122     105      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
2073   taskgated        0.0  00:00.06 1     0   21     1172K 0B    1168K 2073  1     sleeping *0[1]       0.00000 0.00000    0   1374     123      151       32        3274     530       256       12      24       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
1861   rcd              0.0  00:02.71 2     1   55     2560K 0B    1272K 1861  1     sleeping *0[1]       0.00000 0.00000    501 16038    201      16946     9093      69125    14997     57886     74      750      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
